device_id(required),product_type(required),sku_number,model_number,sim_serial,device_imei,sdcard_serial,sdcard_size,wifi_mac,hw_version,os_version,ota_version,owner_username,device_region(required),registration_key,shipment_tracking_id(required),shipment_vendor,batch_number,bt_mac,service_provider(required),system_pn(required),device_category(required),manufacturing_partner,shipment_to_3pl,invoice_number,po_number,D2C_Sales_Order#,D2C_shipped_date_(YYYY-MM-DD),Wired_Speaker _SKU(required),Wired_Speaker_Serial_No(required),Native_Cam_SKU(required),Native_Cam_Serial_No(required)
1250730256,Octo,DE811301USA01001,D-810,890000256,890000256,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099256,ACCDC1DR20,70007256
1250730257,Octo,DE811301USA01001,D-810,890000257,890000257,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099257,ACCDC1DR20,70007257
1250730258,Octo,DE811301USA01001,D-810,890000258,890000258,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099258,ACCDC1DR20,70007258
1250730259,Octo,DE811301USA01001,D-810,890000259,890000259,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099259,ACCDC1DR20,70007259
1250730260,Octo,DE811301USA01001,D-810,890000260,890000260,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099260,ACCDC1DR20,70007260
1250730261,Octo,DE811301USA01001,D-810,890000261,890000261,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099261,ACCDC1DR20,70007261
1250730262,Octo,DE811301USA01001,D-810,890000262,890000262,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099262,ACCDC1DR20,70007262
1250730263,Octo,DE811301USA01001,D-810,890000263,890000263,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099263,ACCDC1DR20,70007263
1250730264,Octo,DE811301USA01001,D-810,890000264,890000264,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099264,ACCDC1DR20,70007264
1250730265,Octo,DE811301USA01001,D-810,890000265,890000265,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099265,ACCDC1DR20,70007265
1250730266,Octo,DE811301USA01001,D-810,890000266,890000266,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099266,ACCDC1DR20,70007266
1250730267,Octo,DE811301USA01001,D-810,890000267,890000267,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099267,ACCDC1DR20,70007267
1250730268,Octo,DE811301USA01001,D-810,890000268,890000268,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099268,ACCDC1DR20,70007268
1250730269,Octo,DE811301USA01001,D-810,890000269,890000269,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099269,ACCDC1DR20,70007269
1250730270,Octo,DE811301USA01001,D-810,890000270,890000270,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099270,ACCDC1DR20,70007270
1250730271,Octo,DE811301USA01001,D-810,890000271,890000271,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099271,ACCDC1DR20,70007271
1250730272,Octo,DE811301USA01001,D-810,890000272,890000272,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099272,ACCDC1DR20,70007272
1250730273,Octo,DE811301USA01001,D-810,890000273,890000273,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099273,ACCDC1DR20,70007273
1250730274,Octo,DE811301USA01001,D-810,890000274,890000274,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099274,ACCDC1DR20,70007274
1250730275,Octo,DE811301USA01001,D-810,890000275,890000275,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099275,ACCDC1DR20,70007275
1250730276,Octo,DE811301USA01001,D-810,890000276,890000276,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099276,ACCDC1DR20,70007276
1250730277,Octo,DE811301USA01001,D-810,890000277,890000277,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099277,ACCDC1DR20,70007277
1250730278,Octo,DE811301USA01001,D-810,890000278,890000278,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099278,ACCDC1DR20,70007278
1250730279,Octo,DE811301USA01001,D-810,890000279,890000279,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099279,ACCDC1DR20,70007279
1250730280,Octo,DE811301USA01001,D-810,890000280,890000280,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099280,ACCDC1DR20,70007280
1250730281,Octo,DE811301USA01001,D-810,890000281,890000281,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099281,ACCDC1DR20,70007281
